letter,accuracy
a,0.8461538461538461
b,0.7350427350427351
c,0.8888888888888888
d,0.8888888888888888
e,0.8974358974358975
f,0.9914529914529915
g,0.8034188034188035
h,0.6666666666666666
i,0.9316239316239316
j,0.8974358974358975
k,0.8888888888888888
l,0.9230769230769231
m,0.8803418803418803
n,0.6581196581196581
o,0.8803418803418803
p,0.7692307692307693
q,0.6153846153846154
r,0.8547008547008547
s,0.9145299145299145
t,0.9658119658119658
u,0.9658119658119658
v,0.8547008547008547
w,0.8888888888888888
x,0.7521367521367521
y,0.7350427350427351
z,0.9743589743589743
