letter,r2
a,0.9929034100829894
b,0.9906055036668795
c,0.9964436186862787
d,0.9967372025067803
e,0.9958507251663264
f,0.988536922963261
g,0.9869885976837904
h,0.9908659951065857
i,0.9939493110093471
j,0.9913026706369136
k,0.9835843742160952
l,0.9965341516181827
m,0.9900998001592047
n,0.9877304435301649
o,0.9963934199597216
p,0.9935871604789442
q,0.9932217686540116
r,0.995336677964505
s,0.9951036522478781
t,0.9955111780489024
u,0.9908583426432479
v,0.9932164483237316
w,0.9888206632439474
x,0.9918747643768969
y,0.994404844764782
z,0.9919143677968839
