character,PC1,PC2,PC3
a,-0.3489859,0.15320341,0.25936612
apostrophe,0.28541404,0.53245074,0.23401663
b,0.9418571,-0.054471835,-0.9149733
c,-1.0475187,0.38408756,-0.09157229
comma,0.078311436,0.14377108,-0.077367365
d,0.3630054,0.7589823,0.39378506
doNothing,-4.288563,-2.0234425,0.33144152
e,0.059510164,-0.04027912,0.2366576
f,-0.029092899,-0.032422148,-0.061630815
g,0.67710894,0.3451904,-0.32278222
greaterThan,-0.28927186,0.074188925,-0.46123904
h,-0.2780991,-0.76510835,-0.37698552
i,-0.16249791,0.554381,0.17137289
j,0.7443806,0.78834516,0.02155791
k,0.7561003,-0.3497184,0.31915277
l,-0.780341,-0.6261015,0.031815305
m,0.4601587,-0.6864526,0.26250392
n,-0.087966636,-0.4536121,-0.20068638
o,-0.024308568,0.5924486,0.06874376
p,0.67669535,0.3670272,-0.792256
q,0.5788028,0.028154125,-0.036577877
questionMark,0.5289398,0.26999503,0.12339452
r,-0.60056883,0.0009912491,-0.16665398
s,-0.6225976,0.41197112,-0.57617944
t,0.31632316,-0.2164974,-0.07725068
tilde,-0.7864794,-0.03899349,0.57166
u,-1.0231586,-0.02403979,0.34247097
v,-0.62198585,-0.49125,0.46780065
w,-0.01768817,-0.91501504,0.72416854
x,0.43096974,0.32923543,-0.20616736
y,1.0518817,0.14337243,-0.1257041
z,-0.15668064,-0.6780355,0.17675835
